Time, Lost Packets, Total Packets Generated, Total Packets Processed
0.0010030269622802734, 0, 1, 1
0.5020942687988281, 0, 2, 2
1.5026307106018066, 0, 3, 3
2.170487642288208, 0, 4, 4
2.672449827194214, 0, 5, 5
3.674189805984497, 0, 6, 6
4.3419013023376465, 0, 7, 7
4.8424553871154785, 0, 8, 8
5.844121694564819, 0, 9, 9
6.51153302192688, 0, 10, 10
7.012887716293335, 0, 11, 11
8.014537811279297, 0, 12, 12
8.682125091552734, 0, 13, 13
9.182730197906494, 0, 14, 14
10.184470891952515, 0, 15, 15
10.85265040397644, 0, 16, 16
11.35293197631836, 0, 17, 17
12.35463809967041, 0, 18, 18
13.02301836013794, 0, 19, 19
13.523813724517822, 0, 20, 20
14.525482177734375, 0, 21, 21
15.1921865940094, 0, 22, 22
15.694193840026855, 0, 23, 23
16.694259643554688, 0, 24, 24
17.361947536468506, 0, 25, 25
17.863047122955322, 0, 26, 26
18.86510396003723, 0, 27, 27
19.532715320587158, 0, 28, 28
20.033028602600098, 0, 29, 29
21.034032583236694, 0, 30, 30
21.70154643058777, 0, 31, 31
22.20273733139038, 0, 32, 32
23.203226804733276, 0, 33, 33
23.871129512786865, 0, 34, 34
24.371962547302246, 0, 35, 35
25.374040842056274, 0, 36, 36
26.04183077812195, 0, 37, 37
26.542593479156494, 0, 38, 38
27.5440456867218, 0, 39, 39
28.21078324317932, 0, 40, 40
28.712126970291138, 0, 41, 41
29.713347673416138, 0, 42, 42
